iter	Passed	Remaining
326	344	709
327	345	707
328	345	705
329	346	703
330	347	701
331	347	699
332	348	697
333	348	695
334	349	693
335	350	692
336	350	690
337	351	688
338	351	686
339	352	684
340	353	682
341	353	680
342	354	679
343	355	677
344	355	675
345	356	673
346	356	671
347	357	670
348	358	668
349	358	666
350	359	664
351	360	662
352	360	660
353	361	659
354	361	657
355	362	655
356	363	654
357	363	652
358	364	650
359	365	649
360	365	647
361	366	645
362	367	644
363	367	642
364	368	640
365	368	639
366	369	638
367	370	636
368	371	634
369	371	633
370	372	631
371	373	630
372	373	628
373	374	626
374	375	625
375	375	623
376	376	622
377	377	620
378	377	618
379	378	617
380	378	615
381	379	613
382	380	612
383	380	610
384	381	609
385	382	607
386	382	606
387	383	604
388	383	603
389	384	601
390	385	599
391	385	598
392	386	597
393	387	595
394	387	593
395	388	592
396	388	590
397	389	589
398	390	587
399	390	586
400	391	584
401	391	583
402	392	581
403	393	580
404	393	578
405	394	577
406	395	575
407	395	574
408	396	572
409	396	571
410	397	569
411	398	568
412	398	566
413	399	565
414	400	564
415	400	562
416	401	561
417	402	560
418	402	558
419	403	557
420	404	555
421	404	554
422	405	553
423	406	551
424	406	550
425	407	548
426	407	547
427	408	545
428	409	544
429	409	543
430	410	541
431	411	540
432	411	538
433	412	537
434	412	536
435	413	534
436	413	533
437	414	532
438	415	530
439	415	529
440	416	527
441	417	526
442	417	525
443	418	523
444	418	522
445	419	520
446	419	519
447	420	518
448	421	516
449	421	515
450	422	514
451	422	512
452	423	511
453	424	510
454	424	508
455	425	507
456	426	506
457	426	504
458	427	503
459	427	502
460	428	501
461	429	499
462	429	498
463	430	497
464	430	495
465	431	494
466	432	493
467	432	491
468	433	490
469	433	489
470	434	488
471	435	486
472	435	485
473	436	484
474	436	482
475	437	481
476	437	480
477	438	478
478	439	477
479	439	476
480	440	474
481	440	473
482	441	472
483	442	471
484	442	470
485	443	468
486	443	467
487	444	466
488	445	465
489	445	463
490	446	462
491	447	461
492	447	460
493	448	459
494	448	457
495	449	456
496	450	455
497	450	454
498	451	453
499	451	451
500	452	450
501	453	449
502	453	448
503	454	447
504	454	445
505	455	444
506	456	443
507	456	442
508	457	441
509	457	439
510	458	438
511	459	437
512	459	436
513	460	435
514	461	434
515	461	433
516	462	431
517	462	430
518	463	429
519	464	428
520	464	427
521	465	426
522	465	424
523	466	423
524	467	422
525	467	421
526	468	420
527	469	419
528	469	418
529	470	417
530	471	416
531	471	414
532	472	413
533	473	412
534	473	411
535	474	410
536	474	409
537	475	408
538	476	407
539	476	406
540	477	404
541	477	403
542	478	402
543	479	401
544	479	400
545	480	399
546	480	398
547	481	397
548	482	396
549	482	395
550	483	393
551	484	392
552	484	391
553	485	390
554	485	389
555	486	388
556	487	387
557	487	386
558	488	385
559	488	384
560	489	383
561	490	381
562	490	380
563	491	379
564	492	378
565	492	377
566	493	376
567	494	375
568	494	374
569	495	373
570	496	372
571	496	371
572	497	370
573	498	369
574	498	368
575	499	367
576	500	366
577	500	365
578	501	364
579	502	363
580	502	362
581	503	361
582	503	360
583	504	359
584	505	358
585	506	357
586	506	356
587	507	355
588	508	354
589	509	353
590	509	352
591	510	351
592	510	350
593	511	349
594	512	348
595	512	347
596	513	346
597	513	345
598	514	344
599	515	343
600	515	342
601	516	341
602	516	340
603	517	339
604	518	338
605	518	337
606	519	336
607	520	335
608	520	334
609	521	333
610	522	332
611	522	331
612	523	330
613	524	329
614	524	328
615	525	327
616	526	326
617	526	325
618	527	324
619	527	323
620	528	322
621	529	321
622	529	320
623	530	319
624	531	318
625	531	317
626	532	316
627	532	315
628	533	314
629	534	313
630	534	312
631	535	311
632	535	310
633	536	309
634	537	308
635	537	307
636	538	306
637	538	305
638	539	304
639	540	303
640	540	302
641	541	301
642	541	300
643	542	299
644	543	298
645	543	297
646	544	296
647	544	295
648	545	294
649	546	294
650	546	293
651	547	292
652	547	291
653	548	290
654	548	289
655	549	288
656	550	287
657	550	286
658	551	285
659	551	284
660	552	283
661	553	282
662	553	281
663	554	280
664	554	279
665	555	278
666	556	277
667	556	276
668	557	275
669	557	274
670	558	273
671	558	272
672	559	271
673	560	270
674	560	269
675	561	269
676	562	268
677	562	267
678	563	266
679	563	265
680	564	264
681	565	263
682	565	262
683	566	261
684	567	260
685	567	259
686	568	259
687	569	258
688	569	257
689	570	256
690	571	255
691	572	254
692	572	253
693	573	252
694	574	251
695	574	251
696	575	250
697	576	249
698	576	248
699	577	247
700	578	246
701	579	245
702	579	244
703	580	244
704	581	243
705	581	242
706	582	241
707	582	240
708	583	239
709	584	238
710	584	237
711	585	236
712	586	235
713	586	234
714	587	234
715	587	233
716	588	232
717	589	231
718	589	230
719	590	229
720	591	228
721	592	228
722	592	227
723	593	226
724	594	225
725	594	224
726	595	223
727	596	222
728	596	221
729	597	221
730	598	220
731	598	219
732	599	218
733	600	217
734	600	216
735	601	215
736	602	214
737	602	214
738	603	213
739	604	212
740	604	211
741	605	210
742	606	209
743	606	208
744	607	207
745	608	207
746	608	206
747	609	205
748	610	204
749	610	203
750	611	202
751	612	201
752	612	200
753	613	200
754	613	199
755	614	198
756	615	197
757	615	196
758	616	195
759	617	194
760	617	194
761	618	193
762	619	192
763	620	191
764	620	190
765	621	189
766	621	188
767	622	188
768	623	187
769	623	186
770	624	185
771	625	184
772	625	183
773	626	182
774	627	182
775	627	181
776	628	180
777	629	179
778	629	178
779	630	177
780	631	176
781	631	176
782	632	175
783	632	174
784	633	173
785	634	172
786	635	171
787	635	171
788	636	170
789	636	169
790	637	168
791	638	167
792	638	166
793	639	165
794	640	165
795	640	164
796	641	163
797	642	162
798	642	161
799	643	160
800	644	159
801	644	159
802	645	158
803	645	157
804	646	156
805	647	155
806	647	154
807	648	154
808	649	153
809	649	152
810	650	151
811	650	150
812	651	149
813	652	149
814	653	148
815	653	147
816	654	146
817	654	145
818	655	144
819	656	144
820	656	143
821	657	142
822	658	141
823	658	140
824	659	139
825	660	139
826	661	138
827	661	137
828	662	136
829	663	135
830	663	135
831	664	134
832	665	133
833	665	132
834	666	131
835	667	130
836	667	130
837	668	129
838	668	128
839	669	127
840	670	126
841	670	125
842	671	125
843	672	124
844	672	123
845	673	122
846	674	121
847	674	120
848	675	120
849	676	119
850	676	118
851	677	117
852	678	116
853	678	116
854	679	115
855	680	114
856	681	113
857	681	112
858	682	112
859	683	111
860	683	110
861	684	109
862	684	108
863	685	107
864	686	107
865	686	106
866	687	105
867	688	104
868	688	103
869	689	103
870	690	102
871	690	101
872	691	100
873	692	99
874	692	98
875	693	98
876	694	97
877	694	96
878	695	95
879	695	94
880	696	94
881	697	93
882	697	92
883	698	91
884	699	90
885	699	90
886	700	89
887	700	88
888	701	87
889	702	86
890	703	86
891	703	85
892	704	84
893	704	83
894	705	82
895	706	81
896	706	81
897	707	80
898	708	79
899	708	78
900	709	77
901	710	77
902	710	76
903	711	75
904	712	74
905	712	73
906	713	73
907	714	72
908	714	71
909	715	70
910	716	69
911	716	69
912	717	68
913	718	67
914	718	66
915	719	65
916	720	65
917	720	64
918	721	63
919	722	62
920	722	62
921	723	61
922	724	60
923	724	59
924	725	58
925	726	58
926	726	57
927	727	56
928	728	55
929	728	54
930	729	54
931	730	53
932	730	52
933	731	51
934	731	50
935	732	50
936	733	49
937	733	48
938	734	47
939	735	46
940	735	46
941	736	45
942	737	44
943	737	43
944	738	42
945	738	42
946	739	41
947	739	40
948	740	39
949	741	39
950	741	38
951	742	37
952	742	36
953	743	35
954	743	35
955	744	34
956	745	33
957	745	32
958	746	31
959	747	31
960	747	30
961	748	29
962	748	28
963	749	27
964	750	27
965	750	26
966	751	25
967	751	24
968	752	24
969	753	23
970	753	22
971	754	21
972	755	20
973	755	20
974	756	19
975	756	18
976	757	17
977	758	17
978	758	16
979	759	15
980	759	14
981	760	13
982	761	13
983	761	12
984	762	11
985	762	10
986	763	10
987	764	9
988	764	8
989	765	7
990	766	6
991	766	6
992	767	5
993	767	4
994	768	3
995	768	3
996	769	2
997	770	1
998	771	0
999	771	0
